🐛长久动漫🐛“如果有人贩卖请举报”,#genre#
🔥唐探1900,https://v.gsuus.com/play/lejzWn4e/index.m3u8
🔥哪吒之魔童闹海,https://v.gsuus.com/play/BeXZB7vb/index.m3u8
🔥蛟龙行动,https://v.gsuus.com/play/RdGBzo7b/index.m3u8
火神之天启之子,https://v.cdnlz12.com/20240129/11187_fc414c3b/2000k/hls/mixed.m3u8
飞鸭向前冲,https://www.yzzy.play-cdn1.com/20240129/14669_4dfca98a/2000k/hls/index.m3u8
爱丽丝和特蕾丝的梦幻工厂,https://v.cdnlz3.com/20240115/22790_1d9c990e/2000k/hls/mixed.m3u8
正义联盟：无限地球危机(上),https://v.cdnlz3.com/20240109/22700_37c883c6/2000k/hls/mixed.m3u8
剧场版 怪化猫,https://v.cdnlz3.com/20241128/30021_dc69a788/index.m3u8
数码宝贝,https://cme-video.vod-qcloud.com/1810000003/fb834e74vodtransgzp1810000003/378bce941397757890736824342/video_1139380_1.m3u8?sign=6b9c940a01b7feff87e5ffb9dd318206&t=674bab91&us=cmeuid_anonymous
猪猪侠大电影星际行动,https://svipsvip.ffzy-online5.com/20240608/28420_3da87b61/3000k/hls/mixed.m3u8
猪猪侠之英雄猪少年,https://v.cdnlz17.com/20230923/25964_bdc283db/2000k/hls/mixed.m3u8
冰雪女王5：融冰之战,https://v.cdnlz3.com/20241013/27890_4b687a22/index.m3u8
喜羊羊与灰太狼之守护,https://bfikuncdn.com/20241007/kPbz9ENF/index.m3u8
吞噬星空剧场版 血洛,https://v.cdnlz3.com/20241208/30594_d7a1fcd3/2000k/hls/mixed.m3u8
好好珍惜,https://v16m-default.akamaized.net/eae1cb65b0520e8eef6636bdb95d63d2/675adba9/video/tos/alisg/tos-alisg-v-0000/oMQEeGaG6CiRyAbmMSoAzeDDnLnH3f37zbMiig/?mime_type=video_mp4#.mp4
苦短多线路央视,#genre#
CCTV1,http://z.b.bkpcp.top/m.php?id=cctv1

CCTV2,http://z.b.bkpcp.top/m.php?id=cctv2

CCTV3,http://z.b.bkpcp.top/m.php?id=cctv3

CCTV4,http://z.b.bkpcp.top/m.php?id=cctv4

CCTV4欧洲,http://z.b.bkpcp.top/m.php?id=cctv4o

CCTV4美洲,http://z.b.bkpcp.top/m.php?id=cctv4m

CCTV5,http://z.b.bkpcp.top/m.php?id=cctv5

CCTV5+,http://z.b.bkpcp.top/m.php?id=cctv5p

CCTV6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=m3u8

CCTV6,http://z.b.bkpcp.top/m.php?id=cctv6

CCTV7,http://z.b.bkpcp.top/m.php?id=cctv7

CCTV8,http://z.b.bkpcp.top/m.php?id=cctv8

CCTV9,http://z.b.bkpcp.top/m.php?id=cctv9

CCTV10,http://z.b.bkpcp.top/m.php?id=cctv10

CCTV11,http://z.b.bkpcp.top/m.php?id=cctv11

CCTV12,http://z.b.bkpcp.top/m.php?id=cctv12

CCTV13,http://z.b.bkpcp.top/m.php?id=cctv13

CCTV14,http://z.b.bkpcp.top/m.php?id=cctv14

CCTV15,http://z.b.bkpcp.top/m.php?id=cctv15

CCTV16,https://stream1.freetv.fun/f5e0459fd9f11d93ac18af88196997db1c71aeb6d27ce1bd24faccb628652629.m3u8

CCTV1,http://kxrj.site:1258/69986p/mg9.php?id=cctv1

CCTV2,http://kxrj.site:1258/69986p/mg9.php?id=cctv2

CCTV3,http://kxrj.site:1258/69986p/mg9.php?id=cctv3

CCTV4,http://kxrj.site:1258/69986p/mg9.php?id=cctv4

CCTV4欧洲,http://kxrj.site:1258/69986p/mg9.php?id=cctv4o

CCTV4美洲,http://kxrj.site:1258/69986p/mg9.php?id=cctv4a

CCTV5,http://kxrj.site:1258/69986p/mg9.php?id=cctv5

CCTV5+,http://kxrj.site:1258/69986p/mg9.php?id=cctv5p

CCTV6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202

CCTV6,http://kxrj.site:1258/69986p/mg9.php?id=cctv6

CCTV7,http://kxrj.site:1258/69986p/mg9.php?id=cctv7

CCTV8,http://kxrj.site:1258/69986p/mg9.php?id=cctv8

CCTV9,http://kxrj.site:1258/69986p/mg9.php?id=cctv9

CCTV10,http://kxrj.site:1258/69986p/mg9.php?id=cctv10

CCTV11,http://kxrj.site:1258/69986p/mg9.php?id=cctv11

CCTV12,http://kxrj.site:1258/69986p/mg9.php?id=cctv12

CCTV13,http://kxrj.site:1258/69986p/mg9.php?id=cctv13

CCTV14,http://kxrj.site:1258/69986p/mg9.php?id
CCTV1,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv1

CCTV2,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv2

CCTV3,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv3

CCTV4,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv4

CCTV5,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv5

CCTV5+,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv5p

CCTV6,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv6

CCTV7,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv7

CCTV8,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv8

CCTV9,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv9

CCTV10,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv10

CCTV11,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv11

CCTV12,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv12

CCTV13,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv13

CCTV14,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv14

CCTV15,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv15

CCTV16,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv16

CCTV17,http://nn.7x9d.cn/组播/咪咕视频.php?id=cctv17

多线路央视29(V4),#genre#
CCTV-1,http://202.168.187.208:9089/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
2,http://39.137.67.16/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?servicetype=1&accountinfo=%7E%7EV2.0%7EI0Rkc6neBYgfpoJ1yud8Fw%7EPepnxHHB2d6Hk2dZWM77MyFlBN5q1KnYLvimM9pqT7Epd7QgO4HFWH0z34SUb2Vs%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240420192714%2C%2C%2C20240420192714%2C%2C10001000275495%2C-1%2C0%2C1%2C-1%2C%2C2%2C2201300%2C%2C%2C2%2C%2C%2CEND&GuardEncType=2&icpid=88888888&from=1&hms_devid=3807
CCTV-1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-1,http://113.81.20.157:10443/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-1,http://219.128.121.202:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-1,http://183.237.246.14:32/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-1,http://220.170.241.204:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-1,http://42.48.50.138:9002/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://14.212.185.71:9901/tsfile/live/0001_1.m3u8
CCTV-1,http://123.113.187.204:8000/udp/239.3.1.129:8008

CCTV-1,http://121.19.134.139:808/tsfile/live/0001_1.m3u8

CCTV-1,http://120.76.248.139/live/bfgd/4200000488.m3u8CCTV-2,http://220.170.241.204:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-2,http://202.168.187.208:9089/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-2,http://113.81.20.157:10443/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-2,http://183.237.246.14:32/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-2,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-2,http://42.48.50.138:9002/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://219.128.121.202:59901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://221.213.69.82:9901/tsfile/live/0002_1.m3u8
CCTV-2,http://60.2.190.206:4000/udp/239.253.92.190:6065
CCTV-2,http://113.65.5.217:85/udp/239.77.1.158:5146
CCTV-3,http://42.48.50.138:9002/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-3http://202.100.46.58:9901/tsfile/live/1002_1.m3u8

CCTV-3http://123.129.70.178:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-3,http://202.168.187.208:9089/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CTV-3,http://183.237.246.14:32/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://42.48.50.138:9002/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://202.168.187.208:9089/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-4,http://116.128.242.83:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-4,http://113.81.20.157:10443/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-4,http://219.128.121.202:59901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-4,http://183.237.246.14:32/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://202.168.187.208:9089/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-5,http://219.128.121.202:59901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-5,http://116.128.242.83:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-5,http://113.81.20.157:10443/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-5,http://183.237.246.14:32/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-5,CCTV-5,http://202.168.187.208:9089/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-5,http://219.128.121.202:59901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-5,http://116.128.242.83:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-5,http://113.81.20.157:10443/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-5,http://183.237.246.14:32/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-5,http://220.170.241.204:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-5,http://218.3.138.25:1111/tsfile/live/1004_1.m3u8CCTV-5,http://202.168.187.208:9089/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-5,http://219.128.121.202:59901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-5,http://116.128.242.83:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-5,http://113.81.20.157:10443/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-5,http://183.237.246.14:32/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-5,http://220.170.241.204:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://218.3.138.25:1111/tsfile/live/1004_1.m3u8
\CCTV-6,http://61.136.172.236:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-6,http://113.57.20.158:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-6,http://59.173.243.210:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-6,http://220.249.114.102:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-6,http://175.10.230.91:8081/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-6,http://110.53.218.182:9902/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0


CCTV-7,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6440&tk=e503191f8e20
CCTV-7,http://110.53.218.182:9902/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-7,http://113.57.20.158:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-7,http://59.173.243.210:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0


CCTV-8,http://113.81.20.157:10443/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-8,http://219.128.121.202:59901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-8,http://183.237.246.14:32/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-8,http://116.128.242.83:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-8,http://42.48.50.138:9002/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-8,http://220.170.241.204:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-7,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6440&tk=e503191f8e20

CCTV-8,http://113.81.20.157:10443/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-8,http://219.128.121.202:59901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-8,http://183.237.246.14:32/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-8,http://116.128.242.83:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-8,http://42.48.50.138:9002/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-8,http://220.170.241.204:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-8,http://113.81.20.157:10443/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-8,http://219.128.121.202:59901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-8,http://183.237.246.14:32/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-8,http://202.168.187.208:9089/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-8,http://116.128.242.83:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-8,http://42.48.50.138:9002/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-8,http://220.170.241.204:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-8,http://124.114.103.242:9901/tsfile/live/0008_1.m3u8

CCTV-8,http://117.161.12.116/live/program/live/cctv8hd8m/8000000/mnf.m3u8
CCTV-9,http://116.128.242.83:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-9,http://42.48.50.138:9002/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-9,http://219.128.121.202:59901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-9,http://113.81.20.157:10443/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-9,http://220.170.241.204:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-9,http://183.237.246.14:32/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-9,http://116.128.242.83:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-9,http://42.48.50.138:9002/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-9,http://219.128.121.202:59901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-9,http://113.81.20.157:10443/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-9,http://220.170.241.204:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-9,http://183.237.246.14:32/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-10,http://219.128.121.202:59901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-10,http://183.237.246.14:32/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-10,http://220.170.241.204:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-10,http://42.48.50.138:9002/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-10,http://123.138.22.30:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://1.199.235.116:9901/tsfile/live/0010_1.m3u8
CCTV-11,http://219.128.121.202:59901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-11,http://183.237.246.14:32/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-11,http://113.81.20.157:10443/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-11,http://220.170.241.204:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-11,http://116.128.242.83:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-11,http://42.48.50.138:9002/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-11,http://219.128.121.202:59901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-11,http://183.237.246.14:32/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-11,http://113.81.20.157:10443/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-11,http://220.170.241.204:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-11,http://116.128.242.83:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-11,http://42.48.50.138:9002/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-12,http://36.35.172.21:9901/tsfile/live/1011_1.m3u8

CCTV-12,http://220.249.114.102:9901/tsfile/live/0012_1.m3u8

CCTV-12,http://114.252.236.205:8000/rtp/239.3.1.64:8124

CCTV-12,http://61.157.139.15:9901/tsfile/live/2382_1.m3u8

CCTV-12,http://175.10.230.91:8081/tsfile/live/0012_1.m3u8

CCTV-12,http://171.117.12.136:9999/tsfile/live/0012_1.m3u8

CCTV-12,http://106.53.99.30/dl/bjyd.php?id=8

CCTV-11,http://219.128.121.202:59901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-11,http://183.237.246.14:32/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-11,http://113.81.20.157:10443/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-11,http://220.170.241.204:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-11,http://116.128.242.83:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-11,http://42.48.50.138:9002/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-12,http://36.35.172.21:9901/tsfile/live/1011_1.m3u8

CCTV-12,http://220.249.114.102:9901/tsfile/live/0012_1.m3u8

CCTV-12,http://114.252.236.205:8000/rtp/239.3.1.64:8124

CCTV-12,http://61.157.139.15:9901/tsfile/live/2382_1.m3u8

CCTV-12,http://175.10.230.91:8081/tsfile/live/0012_1.m3u8

CCTV-12,http://171.117.12.136:9999/tsfile/live/0012_1.m3u8

CCTV-12,http://106.53.99.30/dl/bjyd.php?id=8
CCTV13,http://61.136.172.236:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV13,http://113.57.109.129:9001/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV13,http://113.57.20.158:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV13,http://220.249.114.102:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV13,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7518&tk=e503191f8e20

CCTV13,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3685&tk=e503191f8e20

CCTV13,http://218.89.240.144:59901/tsfile/live/0013_1.m3u8

CCTV13,http://61.136.172.236:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV13,http://113.57.109.129:9001/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV13,http://113.57.20.158:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV13,http://220.249.114.102:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV13,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7518&tk=e503191f8e20

CCTV13,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3685&tk=e503191f8e20

CCTV13,http://218.89.240.144:59901/tsfile/live/0013_1.m3u8

CCTV-13,http://110.7.128.156:8096/tsfile/live/0013_1.m3u8

CCTV-13,http://61.136.67.238:50085/tsfile/live/0013_1.m3u8

CCTV-
CCTV-14,http://219.128.121.202:59901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-14,http://42.48.50.138:9002/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-14,http://202.168.187.208:9089/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-14,http://116.128.242.83:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-14,http://113.81.20.157:10443/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-14,http://58.48.37.158:1111/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-14,http://118.77.152.185:9901/tsfile/live/0014_1.m3u8
CCTV-14,http://iptv.887979.xyz/ysptp/cctv14.m3u8
CCTV-16,http://114.252.239.133:9876/udp/239.3.1.184:8001
CCTV-16,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000006000233002/1.m3u8?channel-id=ystenlive&Contentid=1000000006000233002&livemode=1&stbId=3

CCTV-16,http://183.237.246.14:32/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-16,http://222.129.139.229:8888/udp/239.3.1.184:8001
CCTV-16,http://114.252.239.133:9876/udp/239.3.1.184:8001

CCTV-16,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000006000233002/1.m3u8?channel-id=ystenlive&Contentid=1000000006000233002&livemode=1&stbId=3

CCTV-16,http://183.237.246.14:32/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-16,http://222.129.139.229:8888/udp/239.3.1.184:8001
CCTV-17,http://222.134.245.16:9901/tsfile/live/0019_1.m3u8
CCTV-17,http://110.80.17.38:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV-17,http://220.164.192.48:50085/tsfile/live/0018_1.m3u8
电影轮播,#genre#
电影星爷,http://189.1.239.118:35455/huya/11342412
英叔,http://189.1.239.118:35455/huya/11342421
星哥,http://189.1.239.118:35455/huya/11342387
王晶,http://189.1.239.118:35455/huya/11602058
沈騰,http://189.1.239.118:35455/huya/11601968
黄渤,http://189.1.239.118:35455/huya/11352876
武侠,http://189.1.239.118:35455/huya/11342427
电影_警匪,http://189.1.239.118:35455/huya/11352886

电影_罪犯,http://189.1.239.118:35455/huya/11352962

电影_枪战,http://189.1.239.118:35455/huya/21059579

电影_海盗,http://189.1.239.118:35455/huya/21059595

电影_赛车,http://189.1.239.118:35455/huya/11279247

